Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2024-10-30,SAP,238.6999969482422,240.55999755859375,237.19000244140625,237.35000610351562,237.35000610351562,820800
2024-10-30,TSLA,258.0400085449219,263.3500061035156,255.82000732421875,257.54998779296875,257.54998779296875,53993600
2024-10-31,SAP,235.9499969482422,235.9499969482422,231.4499969482422,233.63999938964844,233.63999938964844,890500
2024-10-31,TSLA,257.989990234375,259.75,249.25,249.85000610351562,249.85000610351562,66575300
2024-11-01,SAP,234.8000030517578,235.55999755859375,233.11000061035156,233.11000061035156,233.11000061035156,745700
2024-11-01,TSLA,252.0399932861328,254.0,246.6300048828125,248.97999572753906,248.97999572753906,57544800
2024-11-04,SAP,233.0399932861328,233.4499969482422,231.67999267578125,232.8300018310547,232.8300018310547,416600
2024-11-04,TSLA,244.55999755859375,248.89999389648438,238.8800048828125,242.83999633789062,242.83999633789062,68802400
2024-11-05,SAP,234.0800018310547,236.1999969482422,234.02000427246094,235.89999389648438,235.89999389648438,836200
2024-11-05,TSLA,247.33999633789062,255.27999877929688,246.2100067138672,251.44000244140625,251.44000244140625,69282500
2024-11-06,SAP,229.8800048828125,231.6300048828125,228.25999450683594,231.3000030517578,231.3000030517578,1821800
2024-11-06,TSLA,284.6700134277344,289.5899963378906,275.6199951171875,288.5299987792969,288.5299987792969,165228700
2024-11-07,SAP,236.74000549316406,240.3699951171875,236.69000244140625,240.19000244140625,240.19000244140625,839800
2024-11-07,TSLA,288.8900146484375,299.75,285.5199890136719,296.9100036621094,296.9100036621094,117309200
2024-11-08,SAP,239.13999938964844,239.22999572753906,236.74000549316406,237.55999755859375,237.55999755859375,706600
2024-11-08,TSLA,299.1400146484375,328.7099914550781,297.6600036621094,321.2200012207031,321.2200012207031,204782800
2024-11-11,SAP,237.39999389648438,237.57000732421875,234.6199951171875,235.86000061035156,235.86000061035156,856100
2024-11-11,TSLA,346.29998779296875,358.6400146484375,336.0,350.0,350.0,210521600
2024-11-12,SAP,235.88999938964844,236.6199951171875,233.13999938964844,234.47000122070312,234.47000122070312,888100
2024-11-12,TSLA,342.739990234375,345.8399963378906,323.30999755859375,328.489990234375,328.489990234375,155726000
2024-11-13,SAP,231.60000610351562,232.77999877929688,228.42999267578125,230.0,230.0,1488300
2024-11-13,TSLA,335.8500061035156,344.6000061035156,322.5,330.239990234375,330.239990234375,125405600
2024-11-14,SAP,232.1300048828125,234.24000549316406,231.27999877929688,231.39999389648438,231.39999389648438,831700
2024-11-14,TSLA,327.69000244140625,329.9800109863281,310.3699951171875,311.17999267578125,311.17999267578125,120726100
2024-11-15,SAP,228.89999389648438,229.3699951171875,227.52000427246094,228.30999755859375,228.30999755859375,824400
2024-11-15,TSLA,310.57000732421875,324.67999267578125,309.2200012207031,320.7200012207031,320.7200012207031,114440300
2024-11-18,SAP,229.6999969482422,231.57000732421875,229.25999450683594,231.3000030517578,231.3000030517578,611100
2024-11-18,TSLA,340.7300109863281,348.54998779296875,330.010009765625,338.739990234375,338.739990234375,126547500
2024-11-19,SAP,229.99000549316406,233.69000244140625,229.72000122070312,233.1999969482422,233.1999969482422,614200
2024-11-19,TSLA,335.760009765625,347.3800048828125,332.75,346.0,346.0,88852500
2024-11-20,SAP,234.11000061035156,235.02999877929688,231.2899932861328,235.02000427246094,235.02000427246094,603900
2024-11-20,TSLA,345.0,346.6000061035156,334.29998779296875,342.0299987792969,342.0299987792969,66340700
2024-11-21,SAP,234.5399932861328,236.64999389648438,233.25999450683594,236.02999877929688,236.02999877929688,947100
2024-11-21,TSLA,343.80999755859375,347.989990234375,335.2799987792969,339.6400146484375,339.6400146484375,58011700
2024-11-22,SAP,235.74000549316406,236.75999450683594,234.25999450683594,236.25,236.25,750700
2024-11-22,TSLA,341.0899963378906,361.5299987792969,337.70001220703125,352.55999755859375,352.55999755859375,89140700
2024-11-25,SAP,237.1699981689453,237.22999572753906,233.25999450683594,233.80999755859375,233.80999755859375,616800
2024-11-25,TSLA,360.1400146484375,361.92999267578125,338.20001220703125,338.5899963378906,338.5899963378906,95890900
2024-11-26,SAP,234.41000366210938,235.13999938964844,233.3300018310547,235.05999755859375,235.05999755859375,804800
2024-11-26,TSLA,341.0,346.9599914550781,335.6600036621094,338.2300109863281,338.2300109863281,62295900
2024-11-27,SAP,232.4600067138672,233.22999572753906,231.5500030517578,232.02000427246094,232.02000427246094,961700
2024-11-27,TSLA,341.79998779296875,342.54998779296875,326.5899963378906,332.8900146484375,332.8900146484375,57896400
2024-11-29,SAP,234.3800048828125,237.92999267578125,234.05999755859375,237.60000610351562,237.60000610351562,420900
2024-11-29,TSLA,336.0799865722656,345.45001220703125,334.6499938964844,345.1600036621094,345.1600036621094,37167600
